1672590292.000000, 1672590292.000000, 1672590292.000000
32.000000, 32.000000, 32.000000
-23,-8,59
-23,-8,59
-22,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-22,-8,60
-22,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-22,-8,59
-22,-8,60
-22,-8,60
-22,-8,59
-23,-7,59
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-22,-8,59
-23,-8,60
-22,-8,60
-22,-8,60
-22,-8,59
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,59
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,59
-22,-7,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-23,-8,59
-23,-8,59
-23,-8,60
-22,-8,59
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-22,-8,61
-23,-8,59
-25,-7,59
-21,-8,60
-21,-8,60
-25,-8,59
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,59
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,59
-22,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,60
-22,-8,60
-23,-8,60
-22,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-22,-8,59
-24,-8,60
-23,-8,60
-22,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,60
-23,-8,60
-23,-8,59
-23,-8,60
-23,-8,59
-22,-8,60
-23,-8,60
-23,-8,60
-23,-8,60
-22,-8,59
-23,-8,60
-22,-9,60
-23,-8,60
-23,-8,59
-22,-8,59
-23,-7,60
-22,-7,60
-22,-9,60
-22,-9,59
-21,-7,60
-21,-8,60
-21,-8,60
-22,-8,60
-20,-7,61
-21,-7,61
-21,-8,62
-20,-8,60
-19,-7,59
-20,-11,65
-24,-6,67
-16,-4,66
-17,-9,62
-23,-6,59
-17,-6,60
-16,-10,60
-18,-10,59
-14,-11,60
-23,-10,59
-11,-10,59
-8,-11,56
-23,-10,51
-18,-12,57
-15,-9,59
-12,-8,58
-16,-5,63
-13,-5,66
-12,-7,62
-14,-5,62
-14,-5,68
-21,-8,62
-14,-7,61
-12,-7,61
-27,-2,65
-25,-4,61
-15,-6,59
-21,-5,63
-20,-6,61
-21,-6,60
-22,-5,61
-22,-6,61
-23,-5,59
-25,-7,58
-27,-6,58
-27,-7,57
-25,-6,57
-24,-6,58
-30,-5,58
-31,-7,57
-31,-7,55
-32,-5,57
-31,-5,56
-31,-6,56
-30,-6,57
-28,-6,57
-28,-5,57
-29,-6,57
-28,-6,57
-29,-7,57
-29,-6,57
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,57
-29,-6,57
-29,-6,57
-28,-5,57
-28,-6,57
-28,-6,57
-28,-6,58
-28,-6,57
-29,-6,57
-29,-5,57
-29,-5,57
-28,-6,57
-28,-6,57
-29,-6,57
-29,-6,57
-28,-6,57
-29,-6,57
-29,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-28,-6,57
-29,-6,58
-28,-6,57
-28,-6,57
-29,-6,57
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-27,-6,58
-28,-6,58
-28,-6,57
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,57
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,57
-28,-6,58
-28,-6,58
-27,-6,57
-28,-6,58
-28,-6,58
-28,-6,58
-27,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-27,-6,58
-28,-6,58
-28,-6,57
-28,-6,57
-27,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-28,-6,58
-27,-6,57
-28,-6,58
-28,-6,58
-28,-6,58
-27,-6,58
